Date,Returns_Nasdaq,Returns_S&P/TSX,Returns_S&P Merval,Returns_S&P Lima General,Returns_Bovespa,Returns_S&P CLX IPSA,Returns_FTSE BIVA Real Time Price,Volatility_Nasdaq,Volatility_S&P/TSX,Volatility_S&P Merval,Volatility_S&P Lima General,Volatility_Bovespa,Volatility_S&P CLX IPSA,Volatility_FTSE BIVA Real Time Price,Classification_1D_Americas
2019-12-19,0.006717534250370432,0.0018805719522974511,0.01222657910798844,0.009642074945298673,0.007112814695066649,0.00293091905792882,-0.010344657549237139,4.5125266404899835e-05,3.5365508677678467e-06,0.0001494892366838994,9.296960925075641e-05,5.059213288635606e-05,8.59028652413036e-06,0.00010701193981098893,0
2019-12-20,0.0042442883803270786,0.003182919783882927,0.01432331056128016,-0.00620829505582945,-8.686135196468405e-05,-0.0035747219498379907,-0.0027015367055855514,1.8013983855379455e-05,1.0130978350633339e-05,0.00020515722543487978,3.85429275002364e-05,7.544894465132721e-09,1.2778637018653527e-05,7.298300571626034e-06,0
2019-12-23,0.0023166422420815313,0.0005997579540400524,0.032666894909410216,0.002149044109415292,0.006424709523483017,-0.0020820020097319122,-0.004863625240934264,5.3668312777965446e-06,3.597096034343096e-07,0.001067126023022451,4.618390584212566e-06,4.127689246113338e-05,4.334732368527722e-06,2.3654850484252876e-05,0
2019-12-27,0.00678467200426394,0.0023034148526841418,0.043309245167720785,0.010906836151422713,0.005774617267930012,-0.01214257146008136,6.603129885973742e-05,4.603177420544287e-05,5.305719983565906e-06,0.001875690716997746,0.0001189590748339814,3.3346204591075474e-05,0.00014744204166318236,4.36013242910396e-09,0
2019-12-30,-0.006751136901392073,-0.0040651684367844715,-0.00025241940049078456,0.0003575696958918632,-0.007657922073243043,0.0001691846268749113,-0.013706509836970285,4.5577849461337765e-05,1.6525594419428703e-05,6.371555374412709e-08,1.2785608742019952e-07,5.8643770479863023e-05,2.8623437970802964e-08,0.00018786841191096318,0
2020-01-02,0.016210398098018802,8.129009133824707e-05,-0.013637588656169364,0.0022832910061993737,0.025003650812095764,0.028444759747470908,0.018011134064788735,0.0002627770064962516,6.608078949780551e-09,0.00018598382435487933,5.213417818990948e-06,0.0006251825539332172,0.0008091043570913412,0.0003244009502997932,0
2020-01-03,-0.007883881171018969,-0.001980327913390258,-0.014896707260812457,-0.0043045599879460985,-0.00733031892474663,0.007281024338336648,0.0044061845237352085,6.215558231874742e-05,3.9216986445526134e-06,0.00022191188721434259,1.8529236689826516e-05,5.373357553849858e-05,5.301331541545063e-05,1.9414462057203667e-05,0
2020-01-06,0.005604608890424619,0.002303083783537217,0.02368108928889795,0.0011130056920868132,-0.007067830006191553,0.009191670303852165,-0.0026216916178593893,3.141164081462668e-05,5.304194913992102e-06,0.0005607939899087571,1.2387816706176462e-06,4.995422099642169e-05,8.448680297471774e-05,6.873266939154182e-06,0
2020-01-07,-0.00031973363153513484,0.0036523853585422213,-0.008571788616318486,-0.004537126418100313,-0.001849790713291624,0.005913619846501617,-0.008358690414711944,1.0222959513464537e-07,1.333991880729359e-05,7.347556008284719e-05,2.0585516133823774e-05,3.421725682979935e-06,3.497089968893781e-05,6.986770544899733e-05,0
2020-01-08,0.0066601703510396374,-1.3979545595232218e-05,-0.0024275648146382025,-0.004570071492395506,-0.0035636273324677562,-0.0007329647120610717,0.006420779576170627,4.435786910486745e-05,1.954276950491765e-10,5.89307092926941e-06,2.0885553445606083e-05,1.2699439764711256e-05,5.372372691267697e-07,4.122641036576986e-05,0
2020-01-09,0.008094913452396043,0.003938570447856878,0.024556535142076133,0.0018749045063580834,-0.00258404753725354,-0.0023103151630508726,0.0031512975931569393,6.552762380178242e-05,1.5512337172731528e-05,0.0006030234181840201,3.5152669079618486e-06,6.677301674786086e-06,5.33755615262278e-06,9.930676520636718e-06,0
2020-01-10,-0.0026656092553168104,-6.266307632488118e-05,0.01662488358217856,0.001330151866688986,-0.0038366864951040213,0.019760876352879393,0.0017900612745708005,7.105472702030641e-06,3.926661134497885e-09,0.0002763867541209902,1.7693039884561942e-06,1.472016326171358e-05,0.00039049223423378795,3.204319366718039e-06,0
2020-01-13,0.01029663133274084,0.0034134737503687127,-0.01705127878369804,0.0013962718346608434,0.01565135802997834,-0.007513862601634537,0.004091988253580086,0.00010602061680238042,1.1651803044456245e-05,0.00029074610815939093,1.9495750362671576e-06,0.00024496500818256745,5.645813119624213e-05,1.6744367867437403e-05,0
2020-01-14,-0.002439920887427409,0.003433557066706705,-0.009182205996294138,0.000670807078294998,0.0026132456126857096,-0.007410237562921324,-0.0024684255396181594,5.953213936904554e-06,1.1789314130331553e-05,8.431290695838002e-05,4.499821362906716e-07,6.82905263222111e-06,5.491162073893016e-05,6.093124644639202e-06,0
2020-01-15,0.0007995678437862394,0.0035820260705709084,-0.009351911161589493,0.00317947319062904,-0.010408304314187888,-0.007852487763571569,-0.006564921581689643,6.393087368169761e-07,1.2830910770249661e-05,8.745824237426214e-05,1.0109049769928807e-05,0.0001083327986967422,6.166156407704123e-05,4.309819537373444e-05,0
