Date,Returns_EUR/USD,Returns_GBP/USD,Returns_CAD/USD,Returns_AUD/USD,Returns_NZD/USD,Returns_CNY/USD,Returns_DKK/USD,Returns_HKD/USD,Returns_INR/USD,Returns_JPY/USD,Returns_KRW/USD,Returns_MYR/USD,Returns_MXN/USD,Returns_NOK/USD,Returns_SEK/USD,Returns_CHF/USD,Returns_TWD/USD,Returns_THB/USD,Returns_XAU/USD,Volatility_EUR/USD,Volatility_GBP/USD,Volatility_CAD/USD,Volatility_AUD/USD,Volatility_NZD/USD,Volatility_CNY/USD,Volatility_DKK/USD,Volatility_HKD/USD,Volatility_INR/USD,Volatility_JPY/USD,Volatility_KRW/USD,Volatility_MYR/USD,Volatility_MXN/USD,Volatility_NOK/USD,Volatility_SEK/USD,Volatility_CHF/USD,Volatility_TWD/USD,Volatility_THB/USD,Volatility_XAU/USD,Classification_1D_Global
2021-04-16,0.0015032573400429155,0.003186561213206667,0.003006390840131428,-0.0021959577383573008,-0.003913352303762322,0.0,0.0012422361845911183,0.0,0.0029850768434532774,-0.00032635300806382303,0.0,-0.0008254230761675468,0.00019950124754448636,0.0008378718546313776,0.0008449514655643136,0.002949310893624265,-0.0014174346809735046,-0.0031201273362435225,0.007402167420800208,2.2597826303929016e-06,1.0154172365513145e-05,9.038385883626152e-06,4.8222303886513115e-06,1.531432625336187e-05,0.0,1.543150738307499e-06,0.0,8.910683761320983e-06,1.0650628587230574e-07,0.0,6.813232546698958e-07,3.9800747771806425e-08,7.020292447834244e-07,7.139429791592814e-07,8.698434747250761e-06,2.0091210748264606e-06,9.7351945943741e-06,5.479208252555601e-05,0
2021-04-19,0.004163896755646019,0.011002160382046855,-0.0023793136263803552,0.0030987758818360666,0.0054465604931599075,0.001955034835803295,0.00433571444146256,0.000776699068172198,-0.0044809634350359805,0.005749948036161822,0.0,0.0008254230761676434,0.00616487982130667,0.010000083334583399,0.005054770661624054,0.0054150928523225665,0.008193293468227869,0.0,-0.003948538813930222,1.7338036191679444e-05,0.0001210475330722814,5.661133332679237e-06,9.602411965848893e-06,2.9665021205650295e-05,3.822161209204417e-06,1.8798419717907e-05,6.032614424995607e-07,2.0079033306129453e-05,3.30619024185612e-05,0.0,6.813232546700553e-07,3.800574321115416e-05,0.00010000166669861264,2.555070644161528e-05,2.932323059927495e-05,6.713005785650546e-05,0.0,1.5590958765113486e-05,0
2021-04-20,0.0,-0.0033668859485667295,-0.005783997012780497,-0.004392771921607709,-0.0009754059158353852,0.0013012363579719556,0.0006178560591980444,0.0,-0.00751318335078325,0.000648859112199514,-0.0011166947000751796,0.001648804990183664,-0.00796182549800839,-0.008326442776553668,-0.004210532536343494,-0.0008241381355619582,0.0,0.0,0.004477585753857902,0.0,1.1335920990656087e-05,3.3454621443853715e-05,1.9296445155265083e-05,9.514167006466666e-07,1.6932160593081193e-06,3.817461098877374e-07,0.0,5.644792406248663e-05,4.210181474843415e-07,1.2470070531759952e-06,2.7185578956545523e-06,6.339066526073656e-05,6.932964931122276e-05,1.772858423960718e-05,6.792036664875407e-07,0.0,0.0,2.004877418315124e-05,0
2021-04-21,0.0,-0.0005024224042526174,0.0089134982212303,0.0036189777122476105,0.005422328196773272,0.0012995453420856474,-0.0006178560591980296,0.0,0.0,0.0002161928448589646,0.0011166947000751544,-0.001236348807805233,0.004585792105773603,0.002505220516937363,0.0008435259884392802,-0.0012833442040027262,-0.0008444757715087844,-0.0031298930089277044,0.00907948915406802,0.0,2.5242827229498046e-07,7.945045053987573e-05,1.309699968174495e-05,2.940164307352248e-05,1.6888180961365024e-06,3.81746109887719e-07,0.0,0.0,4.673934616821233e-08,1.247007053175939e-06,1.5285583745614211e-06,2.10294892373755e-05,6.276129838483908e-06,7.115360931724647e-07,1.646972345947391e-06,7.131393286653566e-07,9.796230247334518e-06,8.243712329883881e-05,0
2021-04-22,-0.0014970062675933387,-0.0066991066309721355,-0.0007501875820694066,-0.005692860503518043,-0.005561749598184388,0.0,-0.0012368585373963583,0.0007760962748884511,0.003763647649304023,0.0010802636893674673,-0.0033538320984314402,0.0020597329630105622,-0.0027888464290718876,-0.0033416906619033247,-0.007617472297394023,0.00036683786178073636,0.0016882390053672848,-0.003139720004667641,-0.0053223136762792864,2.2410277652137386e-06,4.487802965313483e-05,5.627814082911426e-07,3.240866071251571e-05,3.09330585929042e-05,0.0,1.5298190415302586e-06,6.023254278957302e-07,1.4165043628111698e-05,1.1669696385658119e-06,1.1248189744469038e-05,4.24249987891227e-06,7.77766440494702e-06,1.116689647985188e-05,5.8025884201565373e-05,1.3457001683586262e-07,2.850150939243519e-06,9.857841707710172e-06,2.8327022868709532e-05,0
2021-04-23,0.006966935370908522,0.0027426938881872074,0.002498439775598719,0.004918467072975715,0.002228413178426149,-0.0006495615687955339,0.006169051026715328,0.0,0.003000752439238242,0.00021591277207923075,0.004469281182297043,0.0008227067514635477,0.004776128482146992,0.007503161503155315,0.013502314837639437,0.0033868859324361245,0.0016853936573809672,0.0,-0.003796562946389212,4.853818846241627e-05,7.522369764299462e-06,6.242201312293776e-06,2.4191318347946297e-05,4.965825293783332e-06,4.219302316561151e-07,3.805719057021744e-05,0.0,9.00451520159426e-06,4.6618325146937845e-08,1.9974474286434456e-05,6.768463989037037e-07,2.2811403277975727e-05,5.629743254243192e-05,0.00018231250597473809,1.1470996319333716e-05,2.840551780339993e-06,0.0,1.4413890205895536e-05,0
2021-04-26,-0.0013232985141697217,0.001584443975694143,0.006342910389660087,0.006948046479529169,0.006379164608593646,0.0019474202843956288,-0.0006151953439179216,0.0,0.002244669853823728,-0.0014042670414578504,0.004449395549541867,0.0028741551298627384,-0.0005957700503892294,0.0008302200559890558,-0.0008385744726210274,-0.0007313283075748943,0.007270725541771036,0.0,0.0016922618216962898,1.751118957603793e-06,2.510462712113462e-06,4.023251221125788e-05,4.8275349881697685e-05,4.069374110353372e-05,3.792445764075552e-06,3.7846531117828986e-07,0.0,5.038542752665035e-06,1.971965923724784e-06,1.979712075628297e-05,8.260767710516295e-06,3.549419529407849e-07,6.89265341366471e-07,7.032071461316343e-07,5.348410934603593e-07,5.286344990376172e-05,0.0,2.8637500731708453e-06,0
2021-04-27,0.000579158581530376,0.0011507481131781498,-0.0001239848740041903,-0.004497855041597253,-0.003739357587602239,0.0,0.000615195343917888,-0.0007760962748884032,0.0022396425935048815,-0.005636871294161269,-0.003335189306138239,0.00040992007132726314,-0.010182777413856661,0.002486532570004878,0.0016764463272523522,0.001096791993689129,-0.003069627078942753,0.0031397200046676247,-0.001968017548892339,3.354246625602772e-07,1.324221219983072e-06,1.5372248981834945e-08,2.0230699975221826e-05,1.3982795167958437e-05,0.0,3.784653111782485e-07,6.023254278956559e-07,5.015998946641272e-06,3.177431798693934e-05,1.1123487707778868e-05,1.680344648769485e-07,0.00010368895586014936,6.182844221695063e-06,2.810472288157901e-06,1.2029526774205744e-06,9.422610403778618e-06,9.857841707710069e-06,3.87309307274821e-06,0
2021-04-28,0.002725810137744936,0.001436575451772744,0.006796442596414398,0.003086422203189586,0.006224516950300613,0.000648298239886038,0.0030703125132580385,0.0,0.0007454342499484418,0.0007606629000294847,0.0033351893061382525,-0.0016406894574598886,0.006800026202848504,0.011522761236780268,0.004178861074966848,0.004011309964343046,0.002233390096413899,0.0,0.0026025798766229086,7.430040907033068e-06,2.0637490286360635e-06,4.6191631966356076e-05,9.526002016341658e-06,3.8744611264579643e-05,4.2029060783933484e-07,9.426818929068893e-06,0.0,5.55672220996196e-07,5.786080474812658e-07,1.1123487707778958e-05,2.6918618958200236e-06,4.6240356359426246e-05,0.00013277402651984594,1.7462879883873078e-05,1.6090607630037808e-05,4.9880313227596855e-06,0.0,6.773422014202514e-06,0
2021-04-30,-0.008698948852710095,-0.00850578183697364,0.0018455864974145774,-0.009287992466470715,-0.0127673119200503,0.001295336968685058,-0.009239363539973225,-0.0007766990681721377,0.005943553900848137,-0.0062108616976514555,-0.006681539333482621,0.0016406894574597963,-0.016074286225390182,-0.01650202463638776,-0.015126338830152042,-0.0041940251119369585,0.00027882336720438684,0.006250020345171326,-0.00717204355452379,7.567171114206628e-05,7.234832465819068e-05,3.4061895194390077e-06,8.626680405721675e-05,0.00016300425366385846,1.6778978624421948e-06,8.536583862378655e-05,6.03261442499467e-07,3.532583297228711e-05,3.857480302735392e-05,4.464296786487539e-05,2.6918618958197208e-06,0.00025838267765576856,0.00027231681709994856,0.00022880612640456546,1.758984663955782e-05,7.774247009919234e-08,3.90627543150555e-05,5.143820874798624e-05,1
